address,name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,approx_cost(for two people),listed_in(type)
"942, 21st Main Road, 2nd Stage, Banashankari, Bangalore",Jalsa,Yes,Yes,4.1,775.0,"080 42297555
+91 9743772233",Banashankari,Casual Dining,"Pasta, Lunch Buffet, Masala Papad, Paneer Lajawab, Tomato Shorba, Dum Biryani, Sweet Corn Soup","North Indian, Mughlai, Chinese",800.0,Buffet
"2nd Floor, 80 Feet Road, Near Big Bazaar, 6th Block, Kathriguppe, 3rd Stage, Banashankari, Bangalore",Spice Elephant,Yes,No,4.1,787.0,080 41714161,Banashankari,Casual Dining,"Momos, Lunch Buffet, Chocolate Nirvana, Thai Green Curry, Paneer Tikka, Dum Biryani, Chicken Biryani","Chinese, North Indian, Thai",800.0,Buffet
"1112, Next to KIMS Medical College, 17th Cross, 2nd Stage, Banashankari, Bangalore",San Churro Cafe,Yes,No,3.8,918.0,+91 9663487993,Banashankari,"Cafe, Casual Dining","Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza","Cafe, Mexican, Italian",800.0,Buffet
"1st Floor, Annakuteera, 3rd Stage, Banashankari, Bangalore",Addhuri Udupi Bhojana,No,No,3.7,88.0,+91 9620009302,Banashankari,Quick Bites,Masala Dosa,"South Indian, North Indian",300.0,Buffet
"10, 3rd Floor, Lakshmi Associates, Gandhi Bazaar Main Road, Above Reliance Trends, Basavanagudi, Bangalore",Grand Village,No,No,3.8,166.0,"+91 8026612447
+91 9901210005",Basavanagudi,Casual Dining,"Panipuri, Gol Gappe","North Indian, Rajasthani",600.0,Buffet
"37, 5-1, 4th Floor, Bosco Court, Gandhi Bazaar Main Road, Basavanagudi, Bangalore",Timepass Dinner,Yes,No,3.8,286.0,"+91 9980040002
+91 9980063005",Basavanagudi,Casual Dining,"Onion Rings, Pasta, Kadhai Paneer, Salads, Salad, Roti, Jeera Rice",North Indian,600.0,Buffet
"2469, 3rd Floor, 24th Cross, Opposite BDA Complex, 2nd Stage, Banashankari, Bangalore",Onesta,Yes,Yes,4.6,2556.0,"080 48653961
080 48655715",Banashankari,"Casual Dining, Cafe","Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza","Pizza, Cafe, Italian",600.0,Cafes
 things tend to get smokey due to the sizzlers. Salt to injuries, service was sluggish as they took too long to prepare the dishes though there only a few in the cafÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x83ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚Ã‚Â©. I hope they get good experience out of this and improve in future.\nTaste 3.5/5\nHygiene 3.5/5\nPrice 3/5\nAmbience 2/5\nServing size 3/5\nService 3/5'), ('Rated 4.0', 'RATED\n  Amazing cafe,,, though the quantity is okayish.\nI ordered 6 dishes.\nCheese balls are yum.\nPink pasta is okay okay.\nGarlic bread is delicious too.\nFrench fries was bad.\nNachos Pizza was okayish.\nOverall, a nice place to give a try.'), ('Rated 1.0', 'RATED\n  Located opposite to wildcraft store..this place is on the 4th floor.\nThe ambience is not good..feels very congested.\nWell for starters, we had nachos cheese salsa which was okay. We ordered some garlic bread with cheese. A complete disappointment as it just had some processed cheese and the bread was dipped in ghee.\nWe ordered some chicken Alfredo hoping it would be better but to our disappointment,, parking facility I could not locate. Staff can be little more local speaking 
"2470, 21 Main Road, 25th Cross, Banashankari, Bangalore",Smacznego,Yes,No,4.2,504.0,"+91 9945230807
+91 9743804471",Banashankari,Cafe,"Waffles, Pasta, Coleslaw Sandwich, Choco Waffle, Tacos, Momos, Cheese Nachos","Cafe, Mexican, Italian, Momos, Beverages",550.0,Cafes
"12,29 Near PES University Back Gate, D'Souza Nagar, Hosakerehalli, 3rd Stage, Banashankari, Bangalore",CafÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚Â‚ÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â© Down The Alley,Yes,No,4.1,402.0,"080 26724489
+91 7406048982",Banashankari,Cafe,"Waffles, Pasta, Crispy Chicken, Honey Chilli Chicken, Sandwich, Coffee, Crepe",Cafe,500.0,Cafes
